network,code,title,plain_english_meaning,response_deadline,key_evidence,winnability_label,source
Visa,10.4,Other Fraud — Card-Absent Environment,The cardholder says they did not authorize this card-not-present (online/phone) transaction. This is the most common e-commerce fraud chargeback.,30 days,AVS (address) and CVV2 match results from the authorization; Device fingerprint / IP address matching the cardholder; Proof the customer logged in or used the product after purchase; Signed delivery confirmation to the billing/AVS-matched address; History of prior undisputed orders from the same cardholder,Highly winnable,Visa Core Rules and Visa Product and Service Rules; Visa Dispute Resolution (Visa Claims Resolution) documentation
Visa,10.3,Other Fraud — Card-Present Environment,"The cardholder disputes an in-person (card-present) transaction as fraudulent, claiming they did not authorize it at the point of sale.",30 days,EMV chip read or contactless transaction record; Signed receipt or PIN-verified authorization; Terminal/POS logs showing the card was physically present; Photo or video evidence from the point of sale if available,Winnable with strong evidence,Visa Core Rules and Visa Product and Service Rules; Visa Dispute Resolution (Visa Claims Resolution) documentation
Visa,10.1,EMV Liability Shift Counterfeit Fraud,"A counterfeit card was used in person at a terminal that was not EMV chip-enabled, shifting fraud liability to the merchant.",30 days,Proof the terminal was EMV chip-enabled and the chip was read; Transaction record showing chip (not magstripe) acceptance; Authorization and settlement records,Highly winnable,Visa Core Rules and Visa Product and Service Rules; Visa Dispute Resolution (Visa Claims Resolution) documentation
Visa,10.2,EMV Liability Shift — Non-Counterfeit Fraud,"A lost or stolen card was used in person at a terminal that was not EMV chip-enabled, shifting fraud liability from the issuer to the merchant.",30 days,Proof the terminal was EMV chip-enabled and the chip was read (not a magstripe fallback); Transaction record confirming chip-on-chip acceptance; PIN-verified or contactless authorization record if applicable; Authorization and settlement records,Highly winnable,Visa Core Rules and Visa Product and Service Rules; Visa Dispute Resolution (Visa Claims Resolution) documentation
Visa,13.1,Merchandise / Services Not Received,The cardholder paid but says they never received the merchandise or service by the expected date.,30 days,Carrier tracking showing delivery to the cardholder address; Signed proof of delivery or photo confirmation; For digital goods: download/access logs with timestamps and IP; Order confirmation and the agreed delivery timeframe; Any customer messages acknowledging receipt,Winnable with strong evidence,Visa Core Rules and Visa Product and Service Rules; Visa Dispute Resolution (Visa Claims Resolution) documentation
Visa,13.2,Cancelled Recurring Transaction,The cardholder says they cancelled a subscription or recurring billing but were charged anyway.,30 days,Your cancellation policy and the terms the customer accepted at sign-up; Records showing no cancellation request was received before the billing date; Login / usage activity during the disputed billing period; Proof the renewal terms were clearly disclosed at checkout,Winnable with strong evidence,Visa Core Rules and Visa Product and Service Rules; Visa Dispute Resolution (Visa Claims Resolution) documentation
Visa,13.3,Not as Described or Defective Merchandise,The cardholder received the item but claims it was defective or significantly different from how you described it.,30 days,"Your product/service description exactly as shown at checkout; Photos, specs, or QA records proving what shipped matched the listing; Terms, return policy, and refund policy the customer accepted; Communication history about any resolution offered",Winnable with strong evidence,Visa Core Rules and Visa Product and Service Rules; Visa Dispute Resolution (Visa Claims Resolution) documentation
Visa,13.5,Misrepresentation,"The cardholder claims the terms of the sale were misrepresented — common with free trials, hidden recurring charges, or undisclosed terms.",30 days,Screenshots of the offer terms exactly as the customer saw them; Timestamped acceptance of terms / trial disclosure at checkout; Pricing and renewal disclosures shown before purchase,Winnable with strong evidence,Visa Core Rules and Visa Product and Service Rules; Visa Dispute Resolution (Visa Claims Resolution) documentation
Visa,13.6,Credit Not Processed,The cardholder says you promised a refund or credit that never appeared on their statement.,30 days,Processor refund confirmation with transaction/reference ID; Date the credit was issued and when it settled; Your refund / no-return policy the customer accepted; Communication showing whether a refund was actually owed,Often winnable,Visa Core Rules and Visa Product and Service Rules; Visa Dispute Resolution (Visa Claims Resolution) documentation
Visa,13.7,Cancelled Merchandise / Services,The cardholder cancelled the order or returned the merchandise per policy but was still charged or not credited.,30 days,"Your cancellation / return policy as accepted at purchase; Records showing whether a valid cancellation or return occurred; Proof of any credit already issued, or that the cancellation was invalid",Winnable with strong evidence,Visa Core Rules and Visa Product and Service Rules; Visa Dispute Resolution (Visa Claims Resolution) documentation
